[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001025s ]
[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000555s ]
[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000625s ]
[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php Á¨¨ 20 Ë°å.
[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [8] Undefined variable: id IndexAction.class.php Á¨¨ 21 Ë°å.
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000815s ]
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000906s ]
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000640s ]
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000710s ]
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php Á¨¨ 20 Ë°å.
[ 2012-12-06T19:33:52+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [8] Undefined variable: id IndexAction.class.php Á¨¨ 21 Ë°å.
[ 2012-12-06T19:46:22+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:55:07+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:56:30+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:56:32+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:56:58+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:57:26+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.004346s ]
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004446s ]
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000732s ]
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000801s ]
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php Á¨¨ 22 Ë°å.
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [8] Undefined variable: id IndexAction.class.php Á¨¨ 27 Ë°å.
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.001630s ]
[ 2012-12-06T19:58:44+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SELECT * FROM `think_user` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000388s ]
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000688s ]
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000785s ]
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000486s ]
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000554s ]
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php Á¨¨ 22 Ë°å.
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [8] Undefined variable: id IndexAction.class.php Á¨¨ 25 Ë°å.
[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.001078s ]
