[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000659s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000621s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000372s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000600s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002448s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000276s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.012017s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.002244s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002986s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000101s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000095s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000133s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.002850s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined variable: hardDesingCost SpaceAction.class.php 第 63 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined variable: condition SpaceAction.class.php 第 68 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT `pic_id` FROM `jiasp_pics` ORDER BY likes desc LIMIT 0,6   [ RunTime:0.000421s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_pics` WHERE pic_id=43 LIMIT 1   [ RunTime:0.000753s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SHOW COLUMNS FROM `jiasp_user` [ RunTime:0.001165s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_user` WHERE user_id=1 LIMIT 1   [ RunTime:0.000426s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: link SpaceAction.class.php 第 128 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: head_link SpaceAction.class.php 第 129 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_pics` WHERE pic_id=42 LIMIT 1   [ RunTime:0.000587s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_user` WHERE user_id=1 LIMIT 1   [ RunTime:0.000571s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: link SpaceAction.class.php 第 128 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: head_link SpaceAction.class.php 第 129 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_pics` WHERE pic_id=41 LIMIT 1   [ RunTime:0.000563s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_user` WHERE user_id=1 LIMIT 1   [ RunTime:0.000386s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: link SpaceAction.class.php 第 128 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: head_link SpaceAction.class.php 第 129 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_pics` WHERE pic_id=40 LIMIT 1   [ RunTime:0.000403s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_user` WHERE user_id=1 LIMIT 1   [ RunTime:0.000576s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: link SpaceAction.class.php 第 128 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: head_link SpaceAction.class.php 第 129 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_pics` WHERE pic_id=37 LIMIT 1   [ RunTime:0.000722s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_user` WHERE user_id=1 LIMIT 1   [ RunTime:0.000395s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: link SpaceAction.class.php 第 128 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: head_link SpaceAction.class.php 第 129 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_pics` WHERE pic_id=38 LIMIT 1   [ RunTime:0.000373s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | SQL: SELECT * FROM `jiasp_user` WHERE user_id=1 LIMIT 1   [ RunTime:0.000370s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: link SpaceAction.class.php 第 128 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | NOTIC: [8] Undefined index: head_link SpaceAction.class.php 第 129 行.
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000386s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.027286s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.003316s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.018372s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000284s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000265s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000168s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.019324s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --START--
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000650s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000721s ]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/8/s_516f9c09d9ddd.jpg | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/4/s_516f63c3ab9e6.jpg | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/drawing/s_516f61b83f316.png | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/balcony/s_516ed1ac01529.png | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/storeroom/s_516ed1ac82770.png | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/kitchen/s_516f62e94f949.png | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:28+08:00 ] /jiasp2/Space/192.168.1.109/jiasp2/Public/Uploads/u1/8/s_516f9c09d9ddd.jpg | ERR: (ThinkException) 模板不存在[./APP/Tpl/Space/192.168.1.109.html]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.000953s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001040s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001803s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001880s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | SQL: SHOW COLUMNS FROM `jiasp_pics` [ RunTime:0.001264s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | SQL: SELECT COUNT(*) AS tp_count FROM `jiasp_pics` LIMIT 1   [ RunTime:0.000481s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002186s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002285s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012012s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012099s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000907s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000760s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000378s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000697s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002948s ]
[ 2013-04-24T00:00:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
